,0
385,9
386,12
387,10
388,14
389,9
390,10
391,10
392,10
393,9
394,6
395,11
396,10
397,8
398,12
399,11
400,9
401,9
402,7
403,10
404,7
405,12
406,8
407,16
408,11
409,8
410,15
411,14
412,11
413,12
414,14
415,15
416,20
417,20
418,16
419,13
420,14
421,11
422,13
423,8
424,6
425,13
426,18
427,19
428,21
429,18
430,18
431,20
432,18
433,22
434,13
435,11
436,7
437,14
438,9
439,13
440,10
441,8
442,19
443,10
444,10
445,9
446,13
447,16
448,12
449,18
450,16
451,16
452,17
453,11
454,14
455,11
456,15
457,9
458,10
459,11
460,11
461,12
462,6
463,5
464,6
465,5
466,12
467,13
468,17
469,21
470,9
471,10
472,9
473,11
474,10
475,17
476,9
477,17
478,21
479,16
480,29
481,17
482,15
483,19
484,12
485,13
486,11
487,15
488,11
489,14
490,14
491,13
492,11
493,15
494,17
495,15
496,12
497,19
498,11
499,10
500,12
501,23
502,15
503,13
504,17
505,15
506,12
507,15
508,11
509,16
510,10
511,10
512,10
513,6
514,5
515,6
516,9
517,5
518,4
519,6
520,3
521,5
522,9
523,5
524,4
525,4
526,3
527,14
528,12
529,9
530,20
531,13
532,12
533,9
534,10
535,11
536,11
537,7
538,5
539,10
540,15
541,11
542,15
543,8
544,10
545,11
546,8
547,7
548,12
549,11
550,17
551,13
552,12
553,13
554,9
555,10
556,14
557,12
558,13
559,13
560,8
561,13
562,11
563,11
564,14
565,10
566,12
567,12
568,7
569,11
570,16
571,14
572,20
573,17
574,10
575,11
576,10
577,10
578,11
579,17
580,11
581,14
582,19
583,13
584,11
585,11
586,10
587,13
588,14
589,13
590,13
591,9
592,18
593,19
594,12
595,13
596,9
597,13
598,12
599,16
600,17
601,10
602,13
603,11
604,12
605,13
606,9
607,10
608,10
609,12
610,12
611,4
612,9
613,18
614,15
615,13
616,12
617,7
618,9
619,7
620,10
621,18
622,12
623,17
624,15
625,12
626,10
627,8
628,21
629,10
630,9
631,7
632,10
633,9
634,9
635,8
636,7
637,6
638,14
639,13
640,7
641,13
642,19
643,7
644,9
645,11
646,6
647,9
648,11
649,9
650,5
651,6
652,11
653,7
654,10
655,7
656,17
657,16
658,18
659,11
660,18
661,11
662,10
663,12
664,19
665,10
666,11
667,15
668,13
669,13
670,14
671,17
672,19
673,21
674,23
675,22
676,12
677,11
678,23
679,8
680,7
681,10
682,7
683,16
684,10
685,15
686,13
687,16
688,11
689,11
690,10
691,5
692,11
693,9
694,4
695,7
696,4
697,5
698,13
699,16
700,12
701,14
702,9
703,12
704,9
705,10
706,11
707,10
708,10
709,7
710,7
711,11
712,7
713,8
714,9
715,7
716,8
717,6
718,4
719,2
720,3
721,13
722,15
723,15
724,11
725,17
726,10
727,12
728,13
729,15
730,11
731,13
732,15
733,13
734,18
735,10
736,12
737,12
738,14
739,10
740,14
741,8
742,14
743,17
744,20
745,17
746,17
747,9
748,14
749,15
750,13
751,10
752,13
753,13
754,20
755,13
756,20
757,15
758,13
759,15
760,15
761,16
762,17
763,14
764,14
765,11
766,13
767,9
768,11
769,17
770,11
771,8
772,8
773,9
774,10
775,11
776,15
777,13
778,15
779,15
780,13
781,12
782,10
783,6
784,5
785,15
786,9
787,12
788,9
789,12
790,10
791,10
792,9
793,12
794,12
795,15
796,11
797,9
798,11
799,11
800,10
801,10
802,9
803,7
804,10
805,7
806,6
807,15
808,10
809,12
810,12
811,21
812,6
813,5
814,7
815,7
816,6
817,6
818,6
819,7
820,7
821,6
822,7
823,6
824,7
825,7
826,6
827,6
828,6
829,7
830,6
831,6
832,9
833,7
834,7
835,8
836,8
837,9
838,8
839,9
840,8
841,9
842,9
843,8
844,8
845,9
846,11
847,10
848,8
849,10
850,10
851,9
852,10
853,9
854,10
855,9
856,9
857,12
858,10
859,8
860,6
861,12
862,11
863,10
864,11
865,10
866,9
867,12
868,10
869,9
870,12
871,11
872,9
873,11
874,11
875,14
876,9
877,10
878,9
879,8
880,11
881,9
882,17
883,15
884,10
885,10
886,12
887,9
888,11
889,11
890,11
891,17
892,6
893,5
894,3
895,6
896,4
897,6
898,4
899,5
900,4
901,6
902,5
903,6
904,8
905,5
906,6
907,6
908,7
909,7
910,5
911,7
912,7
913,6
914,7
915,6
916,6
917,7
918,7
919,6
920,6
921,5
922,6
923,6
924,6
925,7
926,7
927,8
928,6
929,6
930,7
931,6
932,7
933,7
934,8
935,7
936,7
937,7
938,6
939,7
940,7
941,7
942,7
943,7
944,6
945,8
946,8
947,9
948,6
949,6
950,6
951,8
952,7
953,7
954,8
955,8
956,7
957,6
958,8
959,7
960,7
961,9
962,8
963,9
964,8
965,8
966,7
967,7
968,8
969,8
970,8
971,7
972,8
973,11
974,8
975,8
976,7
977,8
978,8
979,8
980,9
981,9
982,9
983,8
984,10
985,10
986,8
987,8
988,7
989,9
990,9
991,7
992,8
993,10
994,8
995,9
996,11
997,8
998,8
999,11
1000,11
1001,9
1002,9
1003,9
1004,9
1005,9
1006,11
1007,11
1008,10
1009,8
1010,11
1011,10
1012,10
1013,10
1014,9
1015,9
1016,8
1017,11
1018,8
1019,11
1020,10
1021,10
1022,11
1023,10
1024,10
1025,11
1026,8
1027,8
1028,11
1029,10
1030,10
1031,9
1032,11
1033,10
1034,9
1035,10
1036,11
1037,9
1038,10
1039,6
1040,11
1041,10
1042,12
1043,12
1044,8
1045,10
1046,10
1047,12
1048,11
1049,10
1050,11
1051,11
1052,12
1053,4
1054,3
1055,4
1056,4
1057,4
1058,4
1059,5
1060,7
1061,6
1062,5
1063,5
1064,6
1065,6
1066,6
1067,5
1068,6
1069,6
1070,6
1071,7
1072,6
1073,7
1074,7
1075,6
1076,7
1077,7
1078,6
1079,7
1080,7
1081,6
1082,7
1083,7
1084,7
1085,7
1086,8
1087,8
1088,6
1089,7
1090,6
1091,6
1092,7
1093,7
1094,6
1095,6
1096,7
1097,8
1098,7
1099,7
1100,9
1101,8
1102,6
1103,7
1104,8
1105,6
1106,9
1107,8
1108,8
1109,9
1110,8
1111,8
1112,7
1113,8
1114,9
1115,9
1116,8
1117,8
1118,9
1119,10
1120,7
1121,9
1122,9
1123,8
1124,8
1125,10
1126,9
1127,8
1128,8
1129,8
1130,9
1131,8
1132,9
1133,9
1134,8
1135,8
1136,7
1137,10
1138,9
1139,9
1140,9
1141,10
1142,9
1143,9
1144,8
1145,9
1146,9
1147,9
1148,8
1149,9
1150,9
1151,7
1152,8
1153,9
1154,8
1155,8
1156,10
1157,9
1158,9
1159,10
1160,9
1161,8
1162,9
1163,9
1164,10
1165,9
1166,9
1167,8
1168,8
1169,8
1170,9
1171,8
1172,8
1173,10
1174,9
1175,10
1176,10
1177,10
1178,9
1179,11
1180,11
1181,10
1182,11
1183,8
1184,9
1185,9
1186,14
1187,10
1188,9
1189,12
1190,9
1191,10
1192,9
1193,12
1194,9
1195,9
1196,11
1197,12
1198,10
1199,10
1200,10
1201,8
1202,12
1203,12
1204,11
1205,11
1206,11
1207,11
1208,10
1209,11
1210,6
1211,4
1212,5
1213,5
1214,6
1215,5
1216,5
1217,5
1218,5
1219,6
1220,7
1221,5
1222,7
1223,6
1224,6
1225,5
1226,6
1227,8
1228,4
1229,6
1230,7
1231,7
1232,7
1233,6
1234,5
1235,7
1236,6
1237,6
1238,8
1239,7
1240,6
1241,8
1242,9
1243,8
1244,7
1245,5
1246,7
1247,8
1248,8
1249,5
1250,5
1251,6
1252,7
1253,6
1254,7
1255,7
1256,7
1257,8
1258,8
1259,7
1260,9
1261,9
1262,8
1263,8
1264,8
1265,7
1266,9
1267,8
1268,11
1269,8
1270,8
1271,8
1272,8
1273,8
1274,8
1275,9
1276,8
1277,8
1278,8
1279,7
1280,8
1281,9
1282,9
1283,9
1284,9
1285,7
1286,9
1287,8
1288,7
1289,8
1290,7
1291,13
1292,9
1293,10
1294,9
1295,9
1296,9
1297,9
1298,10
1299,9
1300,9
1301,9
1302,8
1303,9
1304,9
1305,10
1306,9
1307,8
1308,9
1309,10
1310,8
1311,11
1312,9
1313,9
1314,10
1315,9
1316,9
1317,10
1318,9
1319,9
1320,9
1321,9
1322,10
1323,9
1324,11
1325,8
1326,8
1327,11
1328,10
1329,8
1330,9
1331,10
1332,10
1333,9
1334,10
1335,9
1336,10
1337,10
1338,10
1339,8
1340,9
1341,10
1342,10
1343,10
1344,10
1345,10
1346,8
1347,9
1348,9
1349,10
1350,10
1351,12
1352,10
1353,11
1354,10
1355,11
1356,10
1357,11
1358,11
1359,10
1360,11
1361,9
1362,12
1363,10
1364,12
1365,10
1366,9
1367,10
1368,10
1369,10
1370,10
1371,10
1372,12
1373,10
1374,9
1375,10
1376,10
1377,12
1378,10
1379,10
1380,9
1381,11
1382,9
1383,12
1384,9
1385,11
1386,12
1387,10
1388,12
1389,10
1390,9
1391,9
1392,10
1393,10
1394,15
1395,10
1396,11
1397,10
1398,11
1399,11
1400,11
1401,11
1402,9
1403,10
1404,10
1405,13
1406,10
1407,10
1408,10
1409,10
1410,10
1411,11
1412,10
1413,13
1414,9
1415,11
1416,12
1417,10
1418,11
1419,12
1420,11
1421,13
1422,12
1423,11
1424,11
1425,12
1426,9
1427,14
1428,14
1429,3
1430,4
1431,7
1432,5
1433,6
1434,7
1435,5
1436,5
1437,6
1438,7
1439,8
1440,7
1441,6
1442,5
1443,9
1444,6
1445,6
1446,5
1447,8
1448,9
1449,6
1450,7
1451,8
1452,9
1453,6
1454,6
1455,8
1456,7
1457,7
1458,7
1459,6
1460,8
1461,6
1462,7
1463,9
1464,9
1465,8
1466,8
1467,7
1468,8
1469,8
1470,9
1471,8
1472,9
1473,8
1474,9
1475,8
1476,9
1477,8
1478,9
1479,8
1480,9
1481,9
1482,8
1483,8
1484,9
1485,8
1486,9
1487,8
1488,9
1489,11
1490,9
1491,9
1492,11
1493,8
1494,10
1495,8
1496,9
1497,10
1498,11
1499,9
1500,10
1501,9
1502,11
1503,10
1504,10
1505,8
1506,9
1507,10
1508,11
1509,11
1510,10
1511,10
1512,9
1513,8
1514,11
1515,11
1516,10
1517,10
1518,11
1519,10
1520,10
1521,12
1522,11
1523,12
1524,11
1525,11
1526,10
1527,12
1528,13
1529,10
1530,11
1531,5
1532,5
1533,6
1534,6
1535,6
1536,5
1537,5
1538,6
1539,7
1540,8
1541,7
1542,7
1543,7
1544,6
1545,7
1546,7
1547,6
1548,8
1549,7
1550,8
1551,7
1552,7
1553,7
1554,8
1555,8
1556,7
1557,8
1558,7
1559,7
1560,6
1561,8
1562,7
1563,10
1564,7
1565,7
1566,9
1567,8
1568,8
1569,8
1570,7
1571,8
1572,9
1573,8
1574,8
1575,7
1576,8
1577,8
1578,8
1579,8
1580,8
1581,8
1582,9
1583,7
1584,6
1585,9
1586,10
1587,8
1588,8
1589,9
1590,7
1591,8
1592,9
1593,8
1594,7
1595,9
1596,7
1597,10
1598,9
1599,11
1600,7
1601,9
1602,9
1603,9
1604,10
1605,9
1606,10
1607,8
1608,9
1609,8
1610,8
1611,10
1612,9
1613,12
1614,8
1615,8
1616,9
1617,8
1618,11
1619,10
1620,8
1621,10
1622,9
1623,9
1624,9
1625,10
1626,8
1627,9
1628,9
1629,10
1630,9
1631,12
1632,8
1633,10
1634,10
1635,9
1636,10
1637,8
1638,9
1639,10
1640,8
1641,9
1642,13
1643,8
1644,10
1645,10
1646,9
1647,10
1648,10
1649,10
1650,11
1651,8
1652,10
1653,10
1654,8
1655,8
1656,9
1657,9
1658,8
1659,10
1660,9
1661,10
1662,9
1663,8
1664,9
1665,8
1666,9
1667,11
1668,10
1669,10
1670,12
1671,9
1672,10
1673,9
1674,9
1675,7
1676,10
1677,9
1678,12
1679,12
1680,13
1681,11
1682,11
1683,12
1684,9
1685,10
1686,12
1687,9
1688,11
1689,10
1690,9
1691,12
1692,10
1693,9
1694,9
1695,8
1696,11
1697,10
1698,11
1699,13
1700,12
1701,10
1702,9
1703,10
1704,10
1705,11
1706,10
1707,12
1708,14
1709,9
1710,10
1711,9
1712,9
1713,10
1714,10
1715,9
1716,12
1717,9
1718,11
1719,11
1720,9
1721,10
1722,9
1723,12
1724,11
1725,9
1726,12
1727,10
1728,14
1729,11
1730,11
1731,11
1732,12
1733,9
1734,12
1735,11
1736,13
1737,10
1738,11
1739,13
1740,10
1741,10
1742,11
1743,11
1744,11
1745,12
1746,10
1747,15
1748,11
1749,11
1750,12
1751,10
1752,11
1753,10
1754,13
1755,7
1756,14
1757,11
1758,11
1759,12
1760,11
1761,12
1762,12
1763,12
1764,5
1765,6
1766,7
1767,7
1768,8
1769,7
1770,6
1771,8
1772,8
1773,10
1774,7
1775,8
1776,9
1777,9
1778,8
1779,9
1780,9
1781,8
1782,10
1783,7
1784,8
1785,8
1786,8
1787,8
1788,10
1789,9
1790,10
1791,10
1792,9
1793,10
1794,10
1795,10
1796,10
1797,8
1798,11
1799,9
1800,9
1801,10
1802,11
1803,10
1804,10
1805,9
1806,11
1807,11
1808,10
1809,8
1810,9
1811,11
1812,10
1813,9
1814,10
1815,11
1816,10
1817,9
1818,10
1819,11
1820,13
1821,9
1822,11
1823,11
1824,5
1825,4
1826,7
1827,6
1828,7
1829,6
1830,7
1831,6
1832,8
1833,6
1834,7
1835,7
1836,6
1837,6
1838,8
1839,11
1840,8
1841,7
1842,7
1843,8
1844,7
1845,8
1846,7
1847,8
1848,9
1849,7
1850,8
1851,9
1852,8
1853,8
1854,8
1855,9
1856,11
1857,8
1858,10
1859,10
1860,10
1861,8
1862,8
1863,9
1864,9
1865,7
1866,10
1867,9
1868,8
1869,9
1870,8
1871,9
1872,9
1873,9
1874,9
1875,9
1876,9
1877,8
1878,10
1879,9
1880,10
1881,6
1882,8
1883,8
1884,7
1885,9
1886,9
1887,9
1888,11
1889,7
1890,11
1891,9
1892,9
1893,10
1894,11
1895,11
1896,9
1897,13
1898,9
1899,9
1900,9
1901,10
1902,11
1903,10
1904,9
1905,10
1906,11
1907,9
1908,9
1909,9
1910,10
1911,10
1912,10
1913,9
1914,10
1915,11
1916,11
1917,10
1918,11
1919,10
1920,9
1921,10
1922,8
1923,10
1924,8
1925,11
1926,11
1927,9
1928,12
1929,10
1930,11
1931,9
1932,11
1933,15
1934,9
1935,12
1936,11
1937,9
1938,10
1939,11
1940,11
1941,11
1942,9
1943,11
1944,11
1945,11
1946,12
1947,12
1948,10
1949,11
1950,10
1951,10
1952,10
1953,9
1954,11
1955,12
1956,11
1957,16
1958,10
1959,13
1960,10
1961,11
1962,10
1963,9
1964,10
1965,11
1966,10
1967,12
1968,12
1969,12
1970,11
1971,11
1972,12
1973,10
1974,10
1975,11
1976,13
1977,13
1978,12
1979,13
1980,10
1981,12
1982,11
1983,11
1984,11
1985,13
1986,4
1987,4
1988,5
1989,6
1990,7
1991,6
1992,5
1993,6
1994,6
1995,6
1996,7
1997,6
1998,7
1999,6
2000,9
2001,6
2002,7
2003,6
2004,7
2005,7
2006,7
2007,8
2008,7
2009,8
2010,7
2011,8
2012,7
2013,10
2014,10
2015,8
2016,9
2017,12
2018,10
2019,9
2020,9
2021,9
2022,9
2023,9
2024,11
2025,10
2026,9
2027,9
2028,10
2029,9
2030,10
2031,10
2032,12
2033,10
2034,14
2035,9
2036,5
2037,5
2038,5
2039,6
2040,8
2041,8
2042,8
2043,7
2044,7
2045,8
2046,7
2047,6
2048,9
2049,8
2050,8
2051,8
2052,8
2053,7
2054,7
2055,9
2056,7
2057,8
2058,8
2059,8
2060,9
2061,8
2062,7
2063,8
2064,8
2065,8
2066,10
2067,9
2068,9
2069,9
2070,11
2071,9
2072,8
2073,7
2074,11
2075,9
2076,10
2077,8
2078,8
2079,9
2080,9
2081,8
2082,10
2083,11
2084,12
2085,10
2086,10
2087,11
2088,12
2089,10
2090,17
2091,8
2092,10
2093,11
2094,7
2095,7
2096,11
2097,7
2098,8
2099,10
2100,10
2101,19
2102,9
2103,9
2104,11
2105,10
2106,14
2107,15
2108,27
2109,13
2110,5
2111,9
2112,8
2113,7
2114,4
2115,3
2116,6
2117,7
2118,8
2119,9
2120,7
2121,9
2122,11
2123,6
2124,7
2125,8
2126,10
2127,7
2128,12
2129,12
2130,9
2131,6
2132,10
2133,9
2134,8
2135,12
2136,9
2137,10
2138,16
2139,14
2140,10
2141,7
2142,9
2143,10
2144,9
2145,9
2146,11
2147,12
2148,8
2149,7
2150,10
2151,18
2152,8
2153,5
2154,10
2155,16
2156,12
2157,17
2158,14
2159,12
2160,19
2161,17
2162,11
2163,9
2164,5
2165,9
2166,6
2167,5
2168,6
2169,4
2170,7
2171,6
2172,5
2173,10
2174,13
2175,12
2176,20
2177,14
2178,15
2179,14
2180,21
2181,16
2182,13
2183,6
2184,6
2185,9
2186,9
2187,14
2188,12
2189,10
2190,11
2191,15
2192,14
2193,6
2194,13
2195,5
2196,11
2197,10
2198,6
2199,21
2200,13
2201,25
2202,19
2203,18
2204,7
2205,6
2206,5
2207,8
2208,16
2209,27
2210,18
2211,17
2212,13
2213,17
2214,8
2215,10
2216,7
2217,13
2218,14
2219,13
2220,8
2221,17
2222,13
2223,14
2224,9
2225,13
2226,7
2227,7
2228,12
2229,7
2230,13
2231,9
2232,9
2233,17
2234,14
2235,13
2236,15
2237,17
2238,8
2239,8
2240,12
2241,11
2242,7
2243,10
2244,11
2245,9
2246,10
2247,9
2248,6
2249,12
2250,11
2251,13
2252,14
2253,11
2254,14
2255,12
2256,8
2257,13
2258,8
2259,13
2260,10
2261,11
2262,17
2263,13
2264,14
2265,13
2266,14
2267,15
2268,13
2269,12
2270,18
2271,14
2272,15
2273,13
2274,15
2275,20
2276,14
2277,19
2278,9
2279,10
2280,9
2281,8
2282,10
2283,7
2284,9
2285,9
2286,9
2287,7
2288,6
2289,10
2290,6
2291,10
2292,9
2293,6
2294,12
2295,10
2296,13
2297,8
2298,7
2299,8
2300,10
2301,10
2302,9
2303,11
2304,11
2305,23
2306,12
2307,16
2308,11
2309,13
2310,13
2311,7
2312,8
2313,16
2314,14
2315,17
2316,13
2317,13
2318,12
2319,15
2320,10
2321,14
2322,12
2323,8
2324,17
2325,10
2326,11
2327,13
2328,15
2329,15
2330,9
2331,15
2332,9
2333,13
2334,23
2335,23
2336,18
2337,11
2338,17
2339,17
2340,11
2341,7
2342,6
2343,6
2344,21
2345,17
2346,13
2347,11
2348,16
2349,9
2350,12
2351,19
2352,18
2353,17
2354,11
2355,13
2356,13
2357,17
2358,20
2359,13
2360,11
2361,12
2362,18
2363,18
2364,15
2365,12
2366,19
2367,15
2368,16
2369,12
2370,8
2371,3
2372,12
2373,12
2374,12
2375,10
2376,8
2377,12
2378,12
2379,10
2380,5
2381,5
2382,11
2383,16
2384,11
2385,12
2386,14
2387,11
2388,10
2389,11
2390,16
2391,10
2392,10
2393,7
2394,14
2395,14
2396,14
2397,17
2398,14
2399,17
2400,13
2401,12
2402,16
2403,10
2404,15
2405,15
2406,10
2407,12
2408,15
2409,8
2410,10
2411,9
2412,7
2413,12
2414,9
2415,10
2416,18
2417,11
2418,18
2419,10
2420,13
2421,15
2422,12
2423,10
2424,6
2425,13
2426,14
2427,6
2428,10
2429,9
2430,11
2431,18
2432,11
2433,16
2434,16
2435,14
2436,23
2437,9
2438,16
2439,9
2440,13
2441,10
2442,9
2443,11
2444,9
2445,12
2446,14
2447,6
2448,7
2449,9
2450,10
2451,10
2452,9
2453,8
2454,5
2455,6
2456,5
2457,5
2458,4
2459,20
2460,14
2461,13
2462,8
2463,17
2464,11
2465,11
2466,9
2467,16
2468,8
2469,13
2470,11
2471,20
2472,14
2473,14
2474,14
2475,12
2476,18
2477,13
2478,8
2479,14
2480,13
2481,8
2482,12
2483,14
2484,14
2485,8
2486,13
2487,11
2488,14
2489,15
2490,7
2491,10
2492,11
2493,8
2494,9
2495,12
2496,15
2497,12
2498,15
2499,19
2500,12
2501,9
2502,5
2503,6
2504,6
2505,6
2506,7
2507,7
2508,6
2509,6
2510,8
2511,6
2512,8
2513,8
2514,8
2515,8
2516,10
2517,7
2518,8
2519,7
2520,9
2521,9
2522,11
2523,9
2524,11
2525,9
2526,9
2527,10
2528,9
2529,8
2530,9
2531,10
2532,10
2533,10
2534,12
2535,11
2536,12
2537,11
2538,15
2539,13
2540,13
2541,9
2542,14
2543,10
2544,10
2545,4
2546,4
2547,5
2548,4
2549,5
2550,5
2551,6
2552,6
2553,7
2554,7
2555,6
2556,6
2557,7
2558,6
2559,7
2560,7
2561,6
2562,6
2563,7
2564,6
2565,8
2566,7
2567,6
2568,7
2569,6
2570,7
2571,9
2572,7
2573,8
2574,8
2575,7
2576,7
2577,7
2578,9
2579,7
2580,8
2581,6
2582,6
2583,8
2584,9
2585,8
2586,7
2587,9
2588,8
2589,7
2590,8
2591,8
2592,7
2593,9
2594,9
2595,11
2596,8
2597,8
2598,9
2599,8
2600,10
2601,10
2602,8
2603,9
2604,10
2605,9
2606,10
2607,9
2608,8
2609,11
2610,9
2611,8
2612,11
2613,11
2614,9
2615,12
2616,9
2617,9
2618,13
2619,8
2620,10
2621,12
2622,13
2623,10
2624,12
2625,10
2626,4
2627,5
2628,5
2629,6
2630,6
2631,6
2632,8
2633,6
2634,7
2635,7
2636,7
2637,7
2638,7
2639,6
2640,7
2641,7
2642,7
2643,8
2644,8
2645,8
2646,7
2647,8
2648,9
2649,7
2650,8
2651,8
2652,9
2653,9
2654,9
2655,7
2656,7
2657,9
2658,8
2659,8
2660,8
2661,9
2662,9
2663,9
2664,9
2665,8
2666,8
2667,7
2668,8
2669,8
2670,9
2671,8
2672,8
2673,9
2674,9
2675,10
2676,10
2677,9
2678,7
2679,9
2680,10
2681,9
2682,10
2683,11
2684,9
2685,10
2686,11
2687,10
2688,8
2689,9
2690,9
2691,9
2692,9
2693,9
2694,10
2695,9
2696,9
2697,10
2698,9
2699,11
2700,13
2701,13
2702,11
2703,11
2704,10
2705,13
2706,11
2707,9
2708,11
2709,12
2710,11
2711,3
2712,4
2713,4
2714,5
2715,6
2716,6
2717,6
2718,7
2719,5
2720,7
2721,8
2722,7
2723,7
2724,8
2725,8
2726,7
2727,7
2728,8
2729,7
2730,6
2731,8
2732,8
2733,7
2734,8
2735,8
2736,7
2737,9
2738,8
2739,7
2740,8
2741,8
2742,8
2743,7
2744,11
2745,8
2746,8
2747,10
2748,9
2749,9
2750,8
2751,9
2752,7
2753,8
2754,8
2755,10
2756,8
2757,9
2758,10
2759,8
2760,10
2761,10
2762,9
2763,10
2764,9
2765,11
2766,8
2767,10
2768,11
2769,11
2770,10
2771,9
2772,10
2773,11
2774,9
2775,10
2776,10
2777,9
2778,8
2779,9
2780,10
2781,10
2782,8
2783,11
2784,9
2785,9
2786,10
2787,11
2788,10
2789,9
2790,10
2791,10
2792,10
2793,12
2794,10
2795,12
2796,10
2797,11
2798,10
2799,10
2800,11
2801,10
2802,9
2803,12
2804,9
2805,11
2806,9
2807,13
2808,9
2809,11
2810,10
2811,9
2812,5
2813,4
2814,4
2815,7
2816,6
2817,7
2818,8
2819,5
2820,6
2821,7
2822,7
2823,7
2824,7
2825,8
2826,9
2827,8
2828,9
2829,7
2830,9
2831,7
2832,9
2833,9
2834,8
2835,8
2836,9
2837,8
2838,9
2839,10
2840,9
2841,9
2842,9
2843,10
2844,10
2845,10
2846,10
2847,8
2848,9
2849,10
2850,10
2851,12
2852,9
2853,8
2854,11
2855,11
2856,11
2857,11
2858,11
2859,11
2860,10
2861,12
2862,10
2863,11
2864,6
2865,4
2866,5
2867,6
2868,7
2869,5
2870,7
2871,7
2872,8
2873,6
2874,8
2875,7
2876,7
2877,9
2878,8
2879,8
2880,8
2881,8
2882,9
2883,8
2884,9
2885,8
2886,8
2887,9
2888,8
2889,8
2890,8
2891,8
2892,10
2893,8
2894,11
2895,10
2896,8
2897,10
2898,8
2899,8
2900,9
2901,8
2902,9
2903,8
2904,9
2905,8
2906,8
2907,10
2908,9
2909,9
2910,11
2911,11
2912,9
2913,9
2914,9
2915,10
2916,10
2917,10
2918,9
2919,10
2920,10
2921,9
2922,11
2923,13
2924,9
2925,10
2926,11
2927,12
2928,11
2929,11
2930,11
2931,9
2932,10
2933,10
2934,9
2935,10
2936,11
2937,10
2938,11
2939,10
2940,10
2941,10
2942,9
2943,10
2944,7
2945,11
2946,11
2947,10
2948,8
2949,11
2950,11
2951,11
2952,12
2953,11
2954,12
2955,15
2956,12
2957,11
2958,12
2959,13
2960,10
2961,10
2962,9
2963,12
2964,9
2965,9
2966,10
2967,11
2968,12
2969,10
2970,13
2971,11
2972,13
2973,12
2974,12
2975,6
2976,8
2977,6
2978,8
2979,8
2980,7
2981,8
2982,9
2983,8
2984,10
2985,8
2986,13
2987,10
2988,9
2989,9
2990,9
2991,8
2992,8
2993,11
2994,9
2995,9
2996,10
2997,9
